 , Colombo/ Colombo, Colombo/ Boralesgamauwa, Colombo/ Dehiwala – Mount Lavinia, Colombo/ Kaduwela, Colombo/ Kesbewa, Colombo/ Kolonnawa, Colombo/ Maharagama, Colombo/ Moratuwa, Colombo/ Avissawella (Seethawakapura), Colombo/Sri Jayawardenapura Kotte, Gampaha/ Gampaha, Gampaha/ Negombo, Gampaha/Katunayaka, Gampaha/Ja-Ela, Gampaha/ Wattala – Mabole, Gampaha/ Minuwangoda, Gampaha/ Peliyagoda, Kalutara/ Kalutara, Kalutara/ Beruwala, Kalutara/ Panadura, Kalutara/ Horana, Galle/ Galle, Galle/ Hikkaduwa, Galle/ Ambalangoda, Hambanthota/ Hambanthota, Hambanthota/ Tangalle, Matara/ Matara, Matara/ Weligama, Kandy/ Kandy, Kandy/ Gampola, Kandy/ Nawalapitiya, Kandy/ Kadugannawa, Kandy/ Wattegama, Matale/ Matale, Matale/ Dambulla, Nuwaraeliya/ Nuwaraeliya, Nuwaraeliya/ Hatton – Dickoya, Nuwaraeliya/ Thalawakele - Lindula, Jaffna/ Jaffna, Jaffna/ Chavakachcheri, Jaffna/ Valvettithurai, Jaffna/ Point Pedro, Vavuniya/ Vavuniya, Trincomalee/ Trincomalee, Trincomalee/ Kinniya, Kilinochchi/ Kilinochchi, Mulativu/ Mulativu, Mannar/ Mannar, Batticaloa/ Batticaloa, Batticaloa/ Kattankudy, Batticaloa/ Eravur, Anuradhapura/ Anuradhapura, Polonnaruwa/ Polonnaruwa, Badulla/ Badulla, Badulla/ Bandarawela, Badulla/ Haputale, Kurunegala/ Kurunegala, Kurunegala/ Kuliyapitiya, Puttalam/ Puttalam, Puttalam/ Chilaw, Ampara/ Ampara, Ampara/ Akkaraipattu, Ampara/ Kalmunai, Monaragala/ Monaragala, Kegalle/ Kegalle, Ratnapura/ Ratnapura, Ratnapura/ Balangoda, Ratnapura/ Embilipitiya
 Colombo/ Colombo,1,12.6,13.4,17.3,22,6.5,12.9,19.6,56,9.4,28,37.6,32.1,18.9,11.9,38.3,9,44,57.8,30.1,41.4,145.8,115.6,87.9,258.7,205,177.8,164.5,122.4,127,133.3,108.2,135.3,151,156,171.1,132.6,148.3,356.8,346.6,374.4,389.4,255.4,261.6,257,334.5,330.4,256,314.6,323.2,304.9,200.6,223.9,237.3,211,198.3,98.9,81.5,135,79.8,313.1,338.9,362.1,285.1,84.8,107.6,130.9,186.1
 Colombo/ Boralesgamauwa,12.6,1,3.6,18.5,9.4,12.9,2.9,8.6,49.8,7.9,41.3,47.3,41.8,35,21.8,54,18.7,33,46.8,19.1,26,109.4,99.7,80.7,222.3,168.6,141.4,128.1,128.8,125.6,118,114.6,141.8,157.4,162.4,155.9,116.9,133.1,366.6,356.4,384.1,399.1,265.2,268,263.4,344.2,340.1,265.7,321,329.6,311.3,210.3,230.3,203.5,177.2,164.4,105.4,92.1,144.7,89.5,392.5,405,371.8,301.5,91.3,77.3,123.1,203.6
 Colombo/ Dehiwala – Mount Lavinia,13.4,3.6,1,21,12.9,14.4,6.5,6.7,53.4,10.2,44.8,47.7,42.3,35.5,22.2,48.5,19.1,31,44.8,17.1,32.3,112.5,103.2,74.9,225.8,172,144.9,131.6,132.4,129.2,121.6,118.2,145.3,160.9,166,159.5,120.4,136.6,367,356.8,384.6,399.6,265.6,271.5,267,344.6,340.5,266.2,324.6,333.2,314.8,210.8,233.9,207,180.7,168,108.9,89,145.2,90,355.8,408.5,368.3,304.9,94.8,80.9,126.7,164.4
 Colombo/ Kaduwela,17.3,18.5,21,1,22,12.9,15.8,25.7,37.4,10.6,20.2,44.4,39,23.1,19.4,39.3,12,44.9,59.5,37.7,30.9,114.3,104.6,88.8,227.2,173.5,146.3,133,110.4,111.7,105.5,96.2,123.3,139,144,143.4,104.4,120.6,363.7,353.5,381.3,381.9,247.9,249.6,245,326.9,322.8,262.9,302.6,311.2,292.9,193.1,211.9,199.5,173.2,160.6,86.9,76.7,141.9,86.7,397.4,409.9,354.6,306.3,72.8,69.9,119.3,208.5
 Colombo/ Kesbewa,22,9.4,12.9,22,1,22.2,10.1,9.3,53.4,16,42.5,61.7,56.2,42.8,31.2,59,31.7,28.2,42,14.2,19.3,102.7,92.9,72.1,215.6,161.8,134.6,121.3,130.1,130.7,123.1,115.9,143,158.6,163.7,161,122,138.2,383.4,373.2,401,401.5,267.6,269.2,264.6,346.6,342.5,282.5,322.3,330.9,312.5,212.7,231.6,196.7,170.5,157.8,106.6,96.4,161.5,106.4,357.8,398.2,366,294.7,92.5,70.7,116.5,196.9
 Colombo/ Kolonnawa,6.5,12.9,14.4,12.9,22.2,1,12.1,21.2,48.6,7.8,27.7,37.3,31.8,18.9,11.8,38.1,8.1,45.6,66.8,31.7,41,121.6,111.9,99.5,234.5,180.7,153.6,140.3,122.1,124.3,116.7,107.9,135.1,150.7,155.8,154.6,115.6,131.8,356.6,346.4,374.2,389.1,255.2,261.3,256.7,334.2,330.1,255.8,314.4,322.9,304.6,200.3,223.6,210.7,184.4,171.8,98.7,81.2,134.8,79.6,345.4,362,361.8,258.5,84.6,81.1,127.3,159.6
 Colombo/ Maharagama,12.9,2.9,6.5,15.8,10.1,12.1,1,10.9,47.5,5.4,34.5,47.2,41.8,35,21.8,54,15.7,35.2,49,21.3,28.1,111.5,101.7,89.4,224.4,170.6,143.5,130.2,126.4,123.2,115.6,112.2,139.4,155,160.1,153.5,114.5,130.7,379.8,369.6,397.3,397.9,264,265.6,261,343,338.9,278.9,318.7,327.2,308.9,209.1,227.9,205.6,179.3,166.6,103,92.8,157.9,102.7,394.5,343,350.4,253.4,88.9,74.9,120.8,205.7
 Colombo/ Moratuwa,19.6,8.6,6.7,25.7,9.3,21.2,10.9,1,55,16.4,49.3,56.5,51.1,44.3,31,63.2,27.9,25.7,39.5,11.8,27.5,107.1,97.3,69.6,222.3,168.6,141.4,128.1,134.2,130.8,123.2,120,149.8,165.4,170.5,161.1,122.1,138.3,390.1,379.9,407.7,408.3,274.3,276,271.4,353.4,349.3,289.3,329.1,337.6,319.3,216,246.5,203.5,177.2,164.6,113.4,103.2,168.3,98.8,327.5,405,372.8,301.5,96.6,77.4,123.3,152.4
 Colombo/ Avissawella (Seethawakapura),56,49.8,53.4,37.4,53.4,48.6,47.5,55,1,43.3,37.7,58.4,56.8,51.2,54.6,47.8,42.9,66.8,83,59.5,40.4,141.9,127.4,119.7,165.8,201,173.8,155.9,92.4,78.4,74.5,78.2,105.3,115.3,133.9,112.4,73.4,89.6,375.6,366.9,378.2,370.9,237,239.4,234.9,316,311.9,282.2,292.5,301.1,282.7,182.1,201.8,163.2,142.2,129.5,76.8,72.9,161.2,104.2,283.1,309,324.2,216.3,54.8,38.9,88.3,117.3
 Colombo/Sri Jayawardenapura Kotte,9.4,7.9,10.2,10.6,16,7.8,5.4,16.4,43.3,1,29.4,43.6,38.2,31.4,18,50.4,10.6,40.6,54.5,26.5,34.4,117.9,108.2,95.8,207.6,177,149.9,136.6,122.3,123.9,116.3,108.2,135.3,150.9,156,154.1,115.1,131.3,362.9,352.7,380.5,395.5,261.5,261.5,256.9,339.9,335.8,262.1,314.6,323.2,304.8,202.1,223.7,210.2,184,171.3,98.9,88.4,141.1,85.9,313.1,338.9,358.3,258,84.8,77.7,123.6,159.1
